depth,seed_id,comparison_type,history_a,replicate_a,history_b,replicate_b,distance
256,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.643203
256,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.655309
256,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.622722
256,seed_404,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.066277
256,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.336861
256,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.295353
256,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.306858
256,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.637847
256,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.655218
256,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.617502
256,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.307778
256,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.274267
256,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.296766
256,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.627461
256,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.639616
256,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.60698
256,seed_404,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.055016
256,seed_404,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.097285
256,seed_404,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.340258
256,seed_404,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.341426
256,seed_404,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.320271
256,seed_404,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.053542
256,seed_404,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.356268
